,level_0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_price,status,x% lower,estimate_profit,estimate_profit%,x%_lower,hypothesis
0,0,3980300371,2014-09-26,142000.0,0,0.0,290,20875,1.0,0,0,1,1,290.0,0,1963,0,98024,47.5308,-121.888,1620,22850,194934.45799999998,Buy,0.0,52934.457999999984,37.3,27.2,H8
1,1,3501100050,2014-12-10,125000.0,3,1.0,1230,4800,1.5,0,0,1,6,1230.0,0,1916,0,98117,47.6941,-122.365,1230,4800,352253.046,Buy,0.0,227253.04599999997,181.8,64.5,H8
2,2,3028200080,2015-03-24,81000.0,2,1.0,730,9975,1.0,0,0,1,5,730.0,0,1943,0,98168,47.4808,-122.315,860,9000,268572.946,Not Buy,0.0,187572.946,231.6,69.8,H8
3,3,40000362,2014-05-06,78000.0,2,1.0,780,16344,1.0,0,0,1,5,780.0,0,1942,0,98168,47.4739,-122.28,1700,10387,276940.956,Buy,1.8867924528301883,198940.956,255.1,71.8,H8
4,4,5694000710,2014-11-07,352950.0,3,1.0,1760,3000,1.5,0,0,1,6,1760.0,0,1900,0,98103,47.6598,-122.348,1320,1266,440953.952,Buy,0.0,88003.95199999999,24.9,20.0,H8
5,5,4006000281,2014-07-29,227000.0,3,1.75,2380,12681,1.0,0,0,1,6,1380.0,1000,1918,0,98118,47.5294,-122.279,1720,6377,544717.276,Buy,0.0,317717.27599999995,140.0,58.3,H8
6,6,723049596,2014-05-09,255000.0,2,1.0,810,7980,1.0,0,0,1,6,810.0,0,1928,0,98146,47.489,-122.337,1440,7980,281961.762,Buy,0.0,26961.761999999988,10.6,9.6,H8
7,7,7849200635,2014-06-30,235000.0,2,1.0,900,28800,1.0,0,0,1,6,900.0,0,1928,0,98065,47.5245,-121.822,1360,7200,297024.18,Buy,0.0,62024.17999999999,26.4,20.9,H8
8,8,859000110,2014-10-02,125000.0,1,1.0,500,7440,1.0,0,0,1,5,500.0,0,1928,0,98106,47.5252,-122.362,1350,7440,230080.09999999998,Buy,0.0,105080.09999999998,84.1,45.7,H8
9,9,913000340,2015-01-02,252000.0,1,1.0,680,1638,1.0,0,4,1,6,680.0,0,1910,1992,98116,47.5832,-122.399,1010,3621,260204.936,Not Buy,0.0,8204.935999999987,3.3,3.2,H8
10,10,6324000090,2015-05-11,210000.0,2,1.0,990,8140,1.0,0,0,1,6,990.0,0,1910,0,98116,47.5828,-122.382,2150,5000,312086.598,Buy,0.0,102086.598,48.6,32.7,H8
11,11,9272202260,2014-09-24,130000.0,3,1.0,1200,7000,2.0,0,0,1,7,1200.0,0,1908,0,98116,47.5883,-122.384,3290,6000,347232.24,Buy_SRP,38.095238095238095,217232.24,167.1,62.6,H8
12,12,9187200095,2014-12-02,432500.0,6,2.0,3080,5500,2.0,0,0,1,7,3080.0,0,1900,0,98122,47.6031,-122.296,1830,5000,661869.416,Buy,1.9274376417233507,229369.41599999997,53.0,34.7,H8
13,13,4008400515,2015-01-20,190000.0,1,0.75,780,77603,1.0,0,0,1,5,780.0,0,1945,0,98058,47.4396,-122.104,1750,30847,276940.956,Buy,0.0,86940.956,45.8,31.4,H8
14,14,5015001680,2014-06-11,427000.0,4,1.0,1860,4736,1.5,0,0,1,7,1860.0,0,1901,0,98112,47.6251,-122.3,1800,4000,457689.972,Buy,0.0,30689.97200000001,7.2,6.7,H8
15,15,2570600140,2015-01-28,196000.0,3,2.25,1510,9600,1.0,0,0,1,7,1090.0,420,1966,0,98028,47.7758,-122.238,1870,10681,399113.902,Buy,0.0,203113.902,103.6,50.9,H8
16,16,2023049218,2014-07-16,105500.0,2,1.0,930,7740,1.0,0,0,1,5,930.0,0,1932,0,98148,47.4611,-122.324,1620,8584,302044.98600000003,Buy_SRP,61.671207992733876,196544.98600000003,186.3,65.1,H8
17,17,2023049218,2015-03-16,445000.0,2,1.0,930,7740,1.0,0,0,1,5,930.0,0,1932,0,98148,47.4611,-122.324,1620,8584,302044.98600000003,Not Buy,0.0,196544.98600000003,186.3,-47.3,H8
18,18,1726059053,2014-09-16,270000.0,2,1.5,1380,209959,1.0,0,0,1,6,1380.0,0,1954,0,98011,47.7461,-122.195,3130,19868,377357.076,Buy,0.0,107357.076,39.8,28.4,H8
19,19,3089000005,2014-07-24,150000.0,2,1.0,850,54000,1.5,0,0,1,4,850.0,0,1950,0,98023,47.2959,-122.377,1550,14440,288656.17,Buy,0.0,138656.16999999998,92.4,48.0,H8
20,20,2206900065,2015-05-01,380000.0,3,1.5,1430,11173,1.0,0,0,1,7,1430.0,0,1955,0,98006,47.5734,-122.153,1520,11659,385725.086,Not Buy,0.0,5725.08600000001,1.5,1.5,H8
21,21,5175800060,2014-06-23,365000.0,4,2.0,1940,25600,1.0,0,0,1,8,1940.0,0,1962,0,98006,47.5722,-122.129,2000,10071,471078.788,Buy,2.0134228187919434,106078.788,29.1,22.5,H8
22,22,9268200315,2014-08-28,456000.0,3,2.0,1870,8442,1.5,0,0,5,7,1060.0,810,1927,0,98117,47.6964,-122.365,1640,6174,459363.57399999996,Buy_SRP,28.186149060986654,3363.573999999964,0.7,0.7,H8
23,23,7518505070,2014-06-25,402000.0,4,2.25,2000,3672,2.0,0,0,5,7,1650.0,350,1926,0,98117,47.6769,-122.383,2000,5100,481120.39999999997,Buy_SRP,36.69042088271192,79120.39999999997,19.7,16.4,H8
24,24,179000100,2014-08-26,174000.0,2,1.0,600,4854,1.0,0,0,5,6,600.0,0,1922,0,98168,47.4927,-122.28,1470,5000,246816.12,Buy,25.957446808510642,72816.12,41.8,29.5,H8
25,25,8018600980,2014-12-03,187250.0,2,1.0,710,14700,1.0,0,0,5,6,710.0,0,1926,0,98168,47.4939,-122.318,1320,14700,265225.74199999997,Buy,20.319148936170215,77975.74199999997,41.6,29.4,H8
26,26,1446403305,2014-05-05,206000.0,2,1.0,810,7158,1.0,0,0,5,6,810.0,0,1944,0,98168,47.4882,-122.325,1090,7158,281961.762,Buy,12.340425531914889,75961.76199999999,36.9,26.9,H8
27,27,795000820,2015-04-06,220000.0,2,1.0,840,9000,1.0,0,0,5,6,840.0,0,1951,0,98168,47.5033,-122.329,1350,10400,286982.56799999997,Buy,6.382978723404253,66982.56799999997,30.4,23.3,H8
28,28,1446404015,2014-06-20,200000.0,2,1.0,860,6600,1.0,0,0,5,6,860.0,0,1949,0,98168,47.4878,-122.324,1030,6732,290329.772,Buy,14.893617021276595,90329.772,45.2,31.1,H8
29,29,1623049145,2014-09-25,210000.0,2,1.0,880,9750,1.0,0,0,5,6,880.0,0,1938,0,98168,47.4885,-122.298,1220,9406,293676.976,Buy,10.63829787234043,83676.97600000002,39.8,28.5,H8
30,30,6082400260,2014-11-12,231500.0,2,1.0,1200,9488,1.0,0,0,5,7,1200.0,0,1941,0,98168,47.4832,-122.299,1200,9488,347232.24,Buy,1.4893617021276562,115732.23999999999,50.0,33.3,H8
31,31,7347600210,2015-04-24,258000.0,4,1.0,1220,8500,1.5,0,0,5,6,1220.0,0,1916,0,98168,47.4792,-122.277,1460,8500,350579.444,Not Buy,0.0,92579.44400000002,35.9,26.4,H8
32,32,6082400191,2014-06-19,287000.0,3,2.0,1300,11374,1.5,0,0,5,7,1300.0,0,1933,0,98168,47.4839,-122.302,1480,9670,363968.26,Not Buy,0.0,76968.26000000001,26.8,21.1,H8
33,33,1623049214,2014-09-26,283000.0,4,1.5,1480,47045,1.0,0,0,5,6,1480.0,0,1942,0,98168,47.4809,-122.3,1530,11000,394093.096,Not Buy,0.0,111093.09600000002,39.3,28.2,H8
34,34,42000006,2014-09-10,235000.0,5,1.0,1500,9282,1.5,0,0,5,6,1500.0,0,1966,0,98168,47.4702,-122.281,1520,9639,397440.3,Buy,0.0,162440.3,69.1,40.9,H8
35,35,985000955,2015-03-12,290000.0,4,2.0,1560,8800,2.0,0,0,5,6,1560.0,0,1942,1967,98168,47.4927,-122.312,1480,10000,407481.912,Not Buy,0.0,117481.91200000001,40.5,28.8,H8
36,36,8864000425,2014-08-05,242000.0,3,1.75,1580,6099,1.0,0,0,5,7,790.0,790,1944,0,98168,47.4807,-122.29,1330,6099,410829.116,Not Buy,0.0,168829.11599999998,69.8,41.1,H8
37,37,3826000665,2014-05-22,305000.0,4,1.75,2200,8100,1.5,0,0,5,6,1400.0,800,1942,0,98168,47.4945,-122.303,1520,8100,514592.44,Not Buy,0.0,209592.44,68.7,40.7,H8
38,38,1535204365,2014-11-24,428000.0,2,1.75,1980,44550,2.0,0,1,5,7,1280.0,700,1977,0,98070,47.4193,-122.444,1680,25343,477773.196,Buy,10.833333333333329,49773.195999999996,11.6,10.4,H8
39,39,8550001515,2014-10-01,429592.0,2,2.75,1992,10946,1.5,1,4,5,6,1288.0,704,1903,0,98070,47.3551,-122.475,1110,8328,479781.5184,Buy,10.501666666666665,50189.5184,11.7,10.5,H8
40,40,2222039011,2014-11-03,480000.0,5,1.75,2080,217800,1.0,0,0,5,7,2080.0,0,1963,0,98070,47.3884,-122.404,1670,213008,494509.21599999996,Buy,0.0,14509.215999999957,3.0,2.9,H8
41,41,2817100570,2014-06-27,453000.0,4,2.75,2300,37533,1.0,0,3,5,8,1550.0,750,1979,0,98070,47.3714,-122.431,2130,10092,531328.46,Buy,5.625000000000002,78328.45999999996,17.3,14.7,H8
42,42,2622029072,2014-10-01,520000.0,4,3.5,2734,210201,2.0,0,0,5,8,2734.0,0,1974,0,98070,47.3652,-122.504,2270,187308,603962.7868,Not Buy,0.0,83962.7868,16.1,13.9,H8
43,43,1822039225,2014-07-25,665000.0,3,2.5,3136,54450,1.5,0,0,5,8,3136.0,0,1910,0,98070,47.3999,-122.472,2300,54450,671241.5872,Not Buy,0.0,6241.587199999951,0.9,0.9,H8
44,44,6046400755,2015-05-11,475000.0,5,1.75,2020,5100,1.5,0,0,5,7,1320.0,700,1911,0,98103,47.6915,-122.345,1130,5100,484467.604,Buy_SRP,30.069930069930074,9467.603999999992,2.0,2.0,H8
45,45,3330500925,2015-02-24,258305.0,2,1.5,750,2964,1.0,0,0,5,5,750.0,0,1919,0,98118,47.5518,-122.277,1350,3090,271920.15,Buy_SRP,33.67867000449323,13615.150000000023,5.3,5.0,H8
46,46,2658000215,2014-08-12,207000.0,2,1.0,820,4860,1.0,0,0,5,6,820.0,0,1955,0,98118,47.5298,-122.271,1240,6000,283635.364,Buy_SRP,46.85153090699018,76635.364,37.0,27.0,H8
47,47,7129302185,2014-12-15,290000.0,2,1.0,950,5650,1.0,0,0,5,6,950.0,0,1943,0,98118,47.5149,-122.257,1250,5650,305392.19,Buy,25.540792091918608,15392.190000000002,5.3,5.0,H8
