,level_0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_price,status,x% lower,estimate_profit,estimate_profit%,x%_lower,hypothesis
0,0,3076500830,2014-10-29,385195.0,1,1.0,710,6000,1.5,0,0,3,6,710.0,0,2015,0,98144,47.5756,-122.316,1440,4800,402300.5,Buy,4.251921138551906,17105.5,4.4,4.3,H9
1,1,5100400244,2015-04-20,403000.0,2,1.0,894,1552,2.0,0,0,3,7,894.0,0,2011,0,98115,47.6911,-122.313,1131,1992,523000.0,Buy,22.944550669216056,120000.0,29.8,22.9,H9
2,2,5100400251,2015-01-06,390000.0,2,1.0,962,1992,2.0,0,0,3,7,962.0,0,2012,0,98115,47.6911,-122.313,1130,1992,523000.0,Buy,25.430210325047796,133000.0,34.1,25.4,H9
3,3,2771602425,2014-07-21,447000.0,2,1.0,980,1600,2.0,0,0,3,8,980.0,0,2010,0,98119,47.638,-122.375,1180,1600,647475.0,Buy_SRP,30.962585428008804,200475.0,44.8,31.0,H9
4,4,2771602427,2014-05-08,438000.0,2,1.0,980,1179,2.0,0,0,3,8,980.0,0,2010,0,98119,47.6381,-122.375,1190,1600,647475.0,Buy_SRP,32.35260048650527,209475.0,47.8,32.4,H9
5,5,6058600220,2014-07-31,230000.0,3,1.5,1040,1264,2.0,0,0,3,9,900.0,140,2015,0,98144,47.5951,-122.301,1350,3000,402300.5,Buy_SRP,42.82880583046752,172300.5,74.9,42.8,H9
6,6,301402280,2015-03-31,223990.0,2,2.25,1061,2884,2.0,0,0,3,7,1061.0,0,2013,0,98002,47.346,-122.218,1481,2887,265000.0,Buy,15.475471698113207,41010.0,18.3,15.5,H9
7,7,688000017,2014-06-27,516500.0,1,1.25,1100,638,3.0,0,0,3,9,1100.0,0,2014,0,98112,47.6228,-122.307,1110,1933,690000.0,Buy,25.144927536231886,173500.0,33.6,25.1,H9
8,8,6056110780,2014-06-27,229800.0,2,1.75,1110,1773,2.0,0,0,3,8,1110.0,0,2014,0,98108,47.5647,-122.293,1420,2855,330000.0,Buy_SRP,30.36363636363636,100200.0,43.6,30.4,H9
9,9,424049284,2014-10-16,310000.0,1,1.5,1120,912,3.0,0,0,3,7,1120.0,0,2011,0,98144,47.5924,-122.299,1380,3200,402300.5,Buy,22.943173075847533,92300.5,29.8,22.9,H9
10,10,8562780800,2014-10-16,305000.0,2,1.75,1120,758,2.0,0,0,3,7,1120.0,0,2012,0,98027,47.5325,-122.072,1150,758,580500.0,Buy_SRP,47.459086993970715,275500.0,90.3,47.5,H9
11,11,9542890100,2014-12-29,415000.0,2,2.25,1130,2191,2.0,0,0,3,8,1130.0,0,2010,0,98052,47.6861,-122.103,1140,1710,675000.0,Buy_SRP,38.51851851851852,260000.0,62.7,38.5,H9
12,12,5100400241,2015-02-02,394950.0,2,1.0,1131,1304,3.0,0,0,3,7,1131.0,0,2011,0,98115,47.6912,-122.313,1131,1992,523000.0,Buy,24.48374760994264,128050.0,32.4,24.5,H9
13,13,1025049268,2014-07-21,549900.0,2,1.75,1140,936,2.0,0,0,3,8,940.0,200,2014,0,98105,47.6647,-122.284,1160,1327,584500.0,Buy,5.919589392643287,34600.0,6.3,5.9,H9
14,14,6056111063,2014-07-31,230000.0,3,1.75,1140,1165,2.0,0,0,3,8,1140.0,0,2014,0,98108,47.5638,-122.295,1150,1552,330000.0,Buy_SRP,30.303030303030297,100000.0,43.5,30.3,H9
15,15,6056111067,2014-07-07,230000.0,3,1.75,1140,1201,2.0,0,0,3,8,1140.0,0,2014,0,98108,47.5637,-122.295,1210,1552,330000.0,Buy_SRP,30.303030303030297,100000.0,43.5,30.3,H9
16,16,9828702335,2015-02-12,570000.0,2,2.0,1140,690,2.0,0,0,3,8,760.0,380,2014,0,98112,47.6205,-122.3,1480,1171,690000.0,Buy,17.391304347826086,120000.0,21.1,17.4,H9
17,17,8562780430,2015-05-04,346100.0,2,1.75,1150,698,2.0,0,0,3,7,1150.0,0,2013,0,98027,47.5323,-122.071,1150,757,580500.0,Buy_SRP,40.378983634797585,234400.0,67.7,40.4,H9
18,18,8562780490,2015-02-23,335000.0,3,2.5,1150,683,2.0,0,0,3,7,1150.0,0,2013,0,98027,47.5323,-122.071,1150,755,580500.0,Buy_SRP,42.29112833763996,245500.0,73.3,42.3,H9
19,19,8562780540,2014-12-22,325000.0,2,2.25,1150,711,2.0,0,0,3,7,1150.0,0,2013,0,98027,47.5323,-122.07,1150,748,580500.0,Buy_SRP,44.01378122308355,255500.0,78.6,44.0,H9
20,20,8562780530,2015-03-28,338500.0,2,2.25,1150,711,2.0,0,0,3,7,1150.0,0,2013,0,98027,47.5323,-122.071,1150,748,580500.0,Buy_SRP,41.68819982773471,242000.0,71.5,41.7,H9
21,21,1025049266,2014-09-30,555000.0,2,2.25,1160,954,2.0,0,0,3,8,960.0,200,2014,0,98105,47.6647,-122.284,1160,1327,584500.0,Buy,5.047048759623607,29500.0,5.3,5.0,H9
22,22,2771602174,2014-07-01,525000.0,2,2.5,1160,1458,2.0,0,0,3,8,1040.0,120,2012,0,98119,47.6384,-122.373,1650,2311,647475.0,Buy,18.915788254372757,122475.0,23.3,18.9,H9
23,23,6003001999,2015-02-09,530000.0,2,1.75,1170,976,2.0,0,0,3,9,780.0,390,2010,0,98102,47.6192,-122.316,1280,1183,650000.0,Buy,18.461538461538463,120000.0,22.6,18.5,H9
24,24,2771602428,2014-10-29,455000.0,3,2.5,1180,932,3.0,0,0,3,8,1180.0,0,2010,0,98119,47.638,-122.375,1180,2632,647475.0,Buy_SRP,29.72701648712306,192475.0,42.3,29.7,H9
25,25,2771602420,2014-06-17,472000.0,3,2.5,1180,1262,3.0,0,0,3,8,1180.0,0,2010,0,98119,47.6381,-122.375,1180,2632,647475.0,Buy_SRP,27.10143248774084,175475.0,37.2,27.1,H9
26,26,7899800851,2015-04-23,300500.0,2,1.5,1190,801,3.0,0,0,3,8,1190.0,0,2010,0,98106,47.5212,-122.358,1190,810,312000.0,Buy,3.685897435897434,11500.0,3.8,3.7,H9
27,27,7242800020,2014-08-15,277140.0,3,1.5,1190,785,2.0,0,0,3,8,920.0,270,2014,0,98052,47.6781,-122.117,2820,5626,675000.0,Buy_SRP,58.94222222222223,397860.0,143.6,58.9,H9
28,28,8929000130,2014-07-08,357562.0,2,1.75,1210,1032,2.0,0,0,3,8,1210.0,0,2014,0,98029,47.5522,-121.999,1210,1090,560000.0,Buy_SRP,36.14964285714286,202438.0,56.6,36.1,H9
29,29,8929000060,2014-10-04,351358.0,2,1.75,1210,1189,2.0,0,0,3,8,1210.0,0,2014,0,98029,47.5526,-121.998,1540,1672,560000.0,Buy_SRP,37.2575,208642.0,59.4,37.3,H9
