,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_price,status,x% lower,estimate_profit,estimate_profit%
0,7129300520,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180.0,0,1955,0,98178,47.5112,-122.257,1340,5650,267000.0,Buy,16.891385767790258,45100.0,20.324470482199185
1,5631500400,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770.0,0,1933,0,98028,47.7379,-122.233,2720,8062,449950.0,Buy_SRP,59.995555061673514,269950.0,149.97222222222223
2,1954400510,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680.0,0,1987,0,98074,47.6168,-122.045,1800,7503,645000.0,Buy,20.93023255813954,135000.0,26.470588235294112
3,1321400060,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715.0,0,1995,0,98003,47.3097,-122.327,2238,6819,275900.0,Buy,6.66908300108735,18400.0,7.145631067961156
4,2414600126,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050.0,730,1960,0,98146,47.5123,-122.337,1780,8113,271875.0,Buy,15.586206896551724,42375.0,18.4640522875817
5,3793500160,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890.0,0,2003,0,98038,47.3684,-122.031,2390,7570,350000.0,Buy,7.714285714285718,27000.0,8.359133126934992
6,9212900260,20140527T000000,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860.0,300,1942,0,98115,47.69,-122.292,1330,6000,570000.0,Buy,17.894736842105264,102000.0,21.794871794871785
7,114101516,20140528T000000,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430.0,0,1927,0,98028,47.7558,-122.229,1780,12697,425000.0,Buy_SRP,27.058823529411768,115000.0,37.09677419354838
8,6054650070,20141007T000000,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370.0,0,1977,0,98074,47.6127,-122.045,1370,10208,550000.0,Buy_SRP,27.27272727272727,150000.0,37.5
9,1875500060,20140731T000000,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890.0,0,1994,0,98019,47.7277,-121.962,1890,14018,414500.0,Buy,4.704463208685161,19500.0,4.936708860759498
10,6865200140,20140529T000000,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,,0,1916,0,98103,47.6648,-122.343,1610,4300,565000.0,Buy,14.15929203539823,80000.0,16.49484536082475
11,16000397,20141205T000000,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200.0,0,1921,0,98002,47.3089,-122.21,1060,5095,221000.0,Buy,14.479638009049777,32000.0,16.93121693121693
12,7983200060,20150424T000000,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250.0,0,1969,0,98003,47.3343,-122.306,1280,8850,264000.0,Buy,12.878787878787879,34000.0,14.782608695652177
13,6300500875,20140514T000000,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860.0,760,1947,0,98133,47.7025,-122.341,1400,4980,389000.0,Buy,1.0282776349614386,4000.0,1.0389610389610393
14,7137970340,20140703T000000,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270.0,0,1995,0,98092,47.3266,-122.169,2240,7005,327000.0,Buy,12.844036697247708,42000.0,14.73684210526316
15,8091400200,20140516T000000,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070.0,0,1985,0,98030,47.3533,-122.166,1220,8386,298950.0,Buy,15.470814517477837,46250.0,18.302334784329254
16,3303700376,20141201T000000,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400.0,0,1909,0,98112,47.6221,-122.314,1860,3861,850000.0,Buy,21.529411764705884,183000.0,27.436281859070455
